542197148|357430
1047583362|213890
601979208|523630
838563512|78703
497665465|43756
790918925|205003
1402406801|569059
250888022 |359752
1309039680|291635
175511058|110511
387214698|208547
85503165|225150
76545980|351396
997016737|493937
835579000|203153
463877354|53320
418690929|245889
939029990|39669
344371257|426690
594280737|484012
334030701|175573
348222368|143811
77873367|526152
80659067|167922
523335676|404411
1605150912|213872
764716540|357492
346678743|63329
406780361|287328
442728773|70962
86432465|187830
986084443|466940
83043383|462587
75193665|65665
876929359|52434
583278113|462226
2698867659|484587
371385648|155194
715600752|280852
371118652|825647
719245321|573852
835510536|23419
8562742|574063
812456846|711243
138309999|478686
2942937879|18421
479377791|454200
40744461|76227
83738718|449894
522519650|87376
287035430|187641
254597158|84540
8413428|425125
1411892229|63874
602410898|167263
7074309|290159
1053721784|127411
553028808|126931
755210398|114782
348128925|450887
-------------------------
371512891|79906
